R998011,R615810
R772367,R520560
R118711,R833826
R345181,R593310
R899969,R200295
R929480,R509560
R524193,R769253
R238066,R475873
R745969,R610579
R462394,R111184
R215857,R374138
R121093,R648385
R380984,R341269
R454606,R808282
R893591,R552977
R653054,R941409
R713475,R463775
R994073,R282806
R169594,R605240
R958344,R663401
R524820,R913339
R284038,R204807
R258053,R293498
R682829,R461223
R253015,R278606
R783461,R694043
R536415,R453989
R572664,R137012
R815440,R949594
R741778,R191137
R399614,R427307
R721317,R401419
R662717,R246324
R667331,R721912
R140742,R852308
R298407,R615351
R704182,R356551
R163030,R864980
R159930,R169918
R767500,R376737
R526043,R908779
R562639,R532786
R434184,R879350
R669158,R435901
R744434,R102096
R808666,R347322
R747122,R398763
R123043,R425837
R323686,R296172
R993017,R221652
R272058,R848949
R905268,R605217
R550545,R245054
R180870,R885942
R231245,R336416
R837056,R650012
R400261,R397616
R257979,R483481
R943740,R684034
R995800,R889151
R667413,R705572
R498189,R105510
R928852,R319990
R243285,R510894
R518678,R347017
R453871,R142818
R751479,R813742
R484061,R636067
R316093,R816086
R876583,R390589
R946322,R964899
R636810,R394940
R836899,R241333
R691442,R993737
R627096,R914472
R600457,R528144
R444872,R131238
R620394,R530619
R946593,R580494
R284504,R451975
R871344,R656487
R155694,R774167
R306994,R965779
R723218,R616445
R351914,R446582
R124719,R989831
R537003,R543743
R847089,R371774
R174279,R670758
R345631,R149043
R534217,R919102
R434804,R518541
R345042,R853131
R655773,R935477
R133193,R492712
R433605,R597226
R983672,R153838
R840300,R628252
R601416,R724670
R523373,R953752
R276469,R457951
R367832,R997244
R914291,R880693
R724140,R772844
R398950,R890512
R125176,R359090
R814989,R642416
R957783,R363518
R333113,R549287
R552459,R996922
R215705,R743679
R946667,R234610
R484984,R642358
R506051,R890900
R938712,R730489
R823616,R696752
R844957,R225009
R877543,R356052
R450892,R321930
R487224,R758997
R305635,R867033
R892969,R521234
R972884,R205907
R897301,R992479
R335703,R636614
R243690,R621818
R624586,R953142
R841177,R394963
R100547,R399208
R340097,R494918
R215274,R667226
R215552,R146537
R570845,R657039
R444654,R958491
R364103,R362402
R566811,R723844
R853125,R204033
R956569,R668210
R639620,R921196
R950528,R987588
R870769,R294242
R367922,R713266
R653118,R458486
R305412,R334154
R944395,R885985
R514892,R577925
R863244,R537908
R359982,R345852
R797159,R424272
R711873,R109629
R220498,R445358
R734397,R330030
R795941,R896245
R865890,R997120
R752979,R452560
R580428,R953745
R101222,R556629
R456307,R718112
R917715,R189552
R274742,R825342
R909962,R481567
R273692,R319285
R514795,R714303
R240655,R963525
R568849,R278164
R933623,R917488
R497449,R976417
R380010,R540510
R328916,R678722
R849076,R351296
R485558,R953467
R384577,R895512
R153037,R468428
R328197,R974086
R438156,R832352
R724258,R563384
R871629,R207391
R391020,R548289
R461387,R601524
R153189,R852878
R551921,R785357
R403125,R754026
R668753,R276923
R985601,R432662
R833888,R561249
R730940,R230253
R384432,R687246
R799659,R337575
R900210,R341336
R397912,R320965
R768023,R631586
R123584,R783199
R665892,R836898
R561497,R808921
R588956,R658555
R667484,R188926
R366709,R702182
R176930,R814246
R673677,R663396
R834528,R648782
R876716,R675816
R535161,R588944
R593283,R201903
R900996,R122211
R659443,R866312
R721153,R554645
R725791,R462299
R217303,R358777
R736472,R813507
R116156,R219031
R557163,R997595
R203608,R182884
R457258,R970014
R608843,R394068
R958785,R717642
R504488,R490238
R553705,R834128
R293751,R419114
R387535,R263151
R751743,R718906
R436449,R408260
R308252,R588353
R485384,R181209
R664085,R762357
R791525,R240062
R907755,R112265
R474543,R770402
R189679,R672135
R156375,R425983
R232934,R506723
R119155,R739878
R473250,R187452
R271407,R282461
R871985,R511349
R328860,R264415
R545946,R378713
R988180,R250721
R876881,R585110
R960630,R489533
R957487,R379371
R169207,R309022
R236259,R484906
R757618,R413539
R382288,R610452
R366672,R534297
R212026,R182458
R127232,R172813
R531038,R932248
R362385,R147429
R897524,R430780
R158942,R892059
R685169,R393004
R467004,R962499
R622225,R652583
R746353,R454957
R742177,R898120
R862669,R412968
R128567,R836663
R412169,R751646
R601171,R658712
R562420,R491399
R931098,R517601
R146279,R301179
R156245,R440846
R465874,R662648
R619168,R923893
R603464,R377738
R335010,R799061
R212231,R312305
R943607,R823722
R908752,R773560
R186330,R738359
R896194,R705568
R890107,R393615
R583006,R284170
R692008,R146521
R745253,R757493
R815369,R263563
R217609,R739009
R174459,R496196
R789306,R102303
R858051,R878453
R596777,R517039
R269597,R780176
R270673,R767361
R419298,R580833
R494061,R393152
R305380,R288453
R640988,R195426
R938281,R478953
R812128,R910094
R392994,R305713
R299527,R285156
R435607,R161762
R674662,R355704
R176444,R935279
R400510,R469835
R541342,R931686
R382147,R740645
R854229,R754427
R426485,R934297
R596867,R386608
R448784,R277545
R246125,R801830
R858192,R935309
R892227,R126087
R363277,R836132
R650907,R885209
R809824,R958776
R907359,R292171
R450515,R158957
R865114,R131668
R781975,R150309
R716710,R280685
R730715,R104799
R268491,R265002
R160501,R981820
R677805,R345813
R545254,R249539
R532354,R105521
R644734,R717195
R616577,R223352
R652138,R516308
R796200,R332992
R628808,R315883
R420520,R499200
R568927,R748719
R414826,R272067
R791642,R167924
R171295,R404100
R913913,R602673
R480230,R350800
R283737,R911708
R901094,R472037
R731312,R131169
R915065,R309065
R601391,R960950
R583726,R437851
R537915,R534505
R765309,R949704
R679644,R706478
R818672,R612812
R724623,R626453
R281583,R341486
R286368,R235842
R955881,R363923
R630688,R935371
R901456,R869328
R183850,R778928
R313229,R135871
R614522,R473390
R523489,R878692
R552552,R715800
R229017,R278680
R799343,R259146
R257365,R566882
R662047,R470420
R775487,R378012
R103617,R439266
R592593,R775303
R950094,R620954
R976500,R829940
R794905,R120717
R937083,R474766
R588151,R861390
R810978,R444547
R110845,R600939
R730239,R565469
R558166,R556617
R826609,R594851
R156935,R611565
R685436,R561071
R228767,R859553
R308270,R850471
R579688,R185413
R619819,R796037
R513300,R306091
R699931,R671949
R360364,R574374
R172848,R916832
R833664,R709134
R128377,R211716
R736689,R128297
R661036,R304853
R663649,R559129
R885247,R532097
R968468,R609300
R207972,R591072
R357602,R554680
R503882,R813179
R546266,R115565
R880519,R234113
R571924,R281188
R839361,R255552
R707035,R619558
R342493,R907782
R496789,R153415
R475877,R513860
R253923,R735147
R419540,R803246
R680952,R990143
R620319,R897722
R398064,R130259
R384899,R902556
R399118,R651179
R857074,R646423
R466772,R430915
R438591,R316149
R901821,R967525
R804790,R288614
R494702,R120344
R892064,R814790
R609894,R816526
R951042,R227346
R725989,R214776
R203434,R284173
R244695,R937710
R372830,R342265
R465611,R122692
R820536,R876375
R590061,R245083
R616334,R660608
R955054,R722297
R845294,R169058
R476523,R778068
R821833,R497298
R636656,R339231
R969382,R798310
R746962,R780531
R493953,R921071
R171460,R961133
R298465,R876129
R608914,R815720
R357431,R867744
R846597,R621171
R143877,R373304
R267690,R857523
R615907,R407587
R498639,R793605
R257859,R587035
R740014,R742357
R948834,R969560
R802283,R523209
R842059,R886969
R330782,R954263
R143033,R577567
R511655,R998310
R494148,R865349
R250250,R219303
R243247,R212990
R442742,R172455
R652913,R555037
R579040,R127083
R452926,R240626
R699071,R521907
R244107,R460356
R243462,R386988
R991380,R381552
R305595,R656231
R543046,R314121
R541243,R145912
R673607,R478903
R902478,R573469
R587890,R433702
R829463,R908547
R606744,R888969
R177082,R291143
R446320,R478456
R583933,R868824
R600904,R212929
R766257,R496676
R911364,R851598
R156786,R208193
R808440,R857320
R299132,R916036
R657034,R374706
R266073,R283187
R229568,R518482
R592049,R513167
R807609,R991880
R282065,R334732
R994473,R814754
R474123,R475062
R595046,R355120
R394072,R491635
R223998,R674790
R502783,R906566
R802871,R670791
R417385,R737826
R467778,R335498
R164943,R518727
R271200,R310553
R546057,R129144
R550516,R842982
R520105,R171759
R563707,R906694
R950215,R942573
R263620,R622933
R660318,R691607
R336531,R232985
R557487,R923159
R369508,R294330
R477735,R645668
R333576,R597093
R785823,R946999
R245515,R170169
R139027,R412983
R283770,R361790
R906316,R474081
R251903,R497950
R215441,R451169
R863402,R941331
R969260,R447028
R685075,R271121
R308794,R867535
R587022,R231485
R167893,R300256
R235777,R885736
R714959,R709922
R562581,R947455
R881711,R538783
R791317,R773770
R671461,R971561
R676813,R326086
R122688,R185691
R865726,R236726
R312913,R499368
R152123,R877488
R946437,R825416
R304781,R409399
R483320,R979842
R500409,R627438
R764011,R849963
R384104,R919191
R637989,R956679
R641481,R791858
R335946,R724237
R403102,R883431
R386374,R152051
R298324,R422792
R738081,R910987
R712261,R978514
R407827,R291485
R646476,R458063
R314021,R812962
R310755,R429780
R789984,R979148
R709063,R367126
R738111,R644924
R353741,R794910
R648631,R782137
R748026,R866560
R817214,R519712
R909290,R646342
R521544,R548343
R969425,R614291
R774144,R593953
R844665,R838260
R472927,R143697
R242671,R891276
R394933,R330855
R610200,R651956
R526297,R502970
R193100,R794721
R892854,R576802
R655611,R104938
R236493,R861744
R735614,R483330
R137191,R254867
R558690,R861580
R836653,R518420
R469434,R845148
R560454,R984064
R802801,R973961
R265564,R209085
R217361,R415482
R949462,R659638
R753567,R498995
R339192,R262974
R640537,R505939
R750294,R206674
R578844,R528365
R667295,R515089
R113346,R995137
R757733,R344159
R932591,R876854
R158645,R993322
R675110,R431782
R914782,R785788
R104543,R598503
R162514,R268490
R868669,R824834
R676914,R580831
R470274,R242022
R433707,R870674
R597270,R101702
R188270,R124307
R923135,R924879
R482348,R161538
R593881,R144596
R873939,R686588
R394242,R363355
R928974,R239591
R650146,R481901
R914437,R745243
R986810,R341823
R904582,R281401
R961334,R590802
R506698,R669798
R688348,R682627
R232596,R329512
R544209,R824460
R428445,R998663
R823708,R409182
R444482,R165091
R190723,R555873
R916354,R582601
R343660,R568717
R209219,R655635
R183970,R685614
R187709,R910381
R770478,R656641
R616686,R744010
R340490,R533836
R837397,R905667
R791762,R831842
R702299,R586974
R743530,R147962
R551447,R915597
R322130,R278174
R879028,R442089
R216043,R638606
R221727,R982518
R616343,R465676
R696263,R789958
R393349,R916236
R218164,R535455
R665559,R963160
R962312,R681752
R806808,R791242
R485676,R818037
R701239,R245039
R923923,R590695
R733822,R285895
R614229,R354012
R719023,R634262
R996711,R846662
R305338,R542024
R366063,R265294
R459794,R390116
R486339,R993262
R280361,R734031
R739163,R911166
R474674,R502611
R917851,R947347
R858422,R669289
R684180,R597501
R552508,R116580
R574699,R831690
R574797,R265969
R387235,R247563
R974665,R513950
R988793,R317978
R460081,R844090
R489240,R264166
R844733,R831663
R964890,R650584
R302788,R659271
R652234,R991764
R548663,R185888
R409455,R398635
R494229,R748070
R141040,R216460
R707427,R248466
R237641,R849158
R334961,R147237
R495962,R874648
R819299,R270694
R519564,R255274
R101537,R631436
R330927,R313385
R101045,R576970
R772178,R845974
R132573,R633570
R796471,R900815
R608211,R709451
R231943,R483743
R289091,R519166
R895155,R851539
R312853,R352545
R741805,R732632
R923083,R740738
R872872,R107861
R253741,R251670
R201661,R107929
R619211,R994239
R311252,R360490
R492495,R762819
R137391,R637670
R268739,R819962
R336265,R847423
R480471,R272553
R324835,R461604
R678276,R277115
R727471,R827846
R992093,R873331
R674247,R817496
R260177,R615097
R882382,R646452
R909115,R891576
R231802,R556825
R193997,R171352
R692602,R378665
R991277,R612572
R135286,R387406
R923180,R518867
R169039,R930178
R925380,R880455
R104642,R801416
R312697,R336860
R399235,R800652
R773471,R306280
R527772,R847299
R988476,R718866
R352128,R421594
R992034,R646720
R757698,R380638
R824624,R591749
R913082,R468035
R877638,R624448
R435340,R773867
R327893,R749995
R296960,R831450
R726146,R721214
R156462,R133339
R894678,R638111
R708159,R177953
R410915,R114152
R107818,R118485
R854782,R296799
R269864,R624043
R176414,R383897
R124417,R719056
R489810,R875378
R702207,R742651
R603026,R435505
R973689,R803706
R374118,R377986
R831975,R616565
R107490,R802269
R777485,R831902
R732604,R441961
R605953,R954057
R423017,R465948
R854030,R160125
R729242,R617163
R965968,R338032
R208361,R160731
R754700,R751536
R449310,R829546
R537532,R428019
R542279,R501150
R865989,R490433
R815351,R206867
R561484,R944603
R209185,R530716
R924777,R810011
R191664,R333594
R544317,R154562
R149856,R224546
R810671,R914618
R302561,R181580
R544541,R103598
R427320,R104893
R737408,R656241
R857414,R118997
R335715,R824339
R910469,R294722
R570885,R451988
R503401,R758754
R994028,R986700
R318151,R167403
R801728,R905761
R587619,R841355
R628083,R543926
R648180,R342311
R602954,R875246
R420759,R146996
R692544,R185714
R587587,R457863
R479361,R561461
R898125,R965876
R312809,R156712
R226498,R787530
R278413,R384290
R449639,R801452
R927561,R401812
R677166,R438889
R827461,R720859
R612388,R332333
R256505,R205289
R785213,R848559
R908112,R798480
R460397,R552731
R494017,R613038
R697353,R259939
R115378,R994455
R180569,R118703
R130912,R682973
R582939,R166462
R341086,R814768
R780488,R927257
R924847,R363940
R786369,R178963
R273384,R960904
R652574,R235187
R343691,R456806
R933772,R820978
R775368,R290490
R973626,R114687
R567867,R837321
R504775,R744789
R893948,R877817
R860438,R704572
R588963,R878565
R780555,R593637
R962859,R770945
R637263,R274464
R134220,R125571
R284571,R176991
R679777,R249027
R208941,R833214
R964912,R546088
R918411,R293355
R420167,R573827
R335469,R882294
R528693,R672123
R894601,R186524
R696517,R204341
R646179,R713260
R513486,R143324
R914802,R172829
R884209,R550083
R281066,R417700
R823982,R875737
R962895,R288146
R676304,R969676
R587910,R632722
R584803,R179085
R178627,R969047
R630443,R731386
R698509,R201404
R163543,R130163
R883916,R450291
R865539,R297625
R244664,R610459
R892159,R754198
R968495,R663629
R744944,R994890
R343386,R690200
R186619,R115342
R368442,R205859
R621035,R294055
R221800,R715954
R652252,R955745
R151586,R744180
R597487,R718200
R586017,R493650
R740370,R299708
R245781,R244649
R316450,R343016
R242216,R651158
R303037,R526351
R453261,R868561
R806211,R594864
R107380,R195802
R495552,R473865
R193310,R877107
R213230,R322163
R980973,R543502
R995184,R177761
R248275,R736736
R827844,R994102
R842387,R555591
R236383,R338659
R257123,R221910
R472692,R349526
R177018,R977847
R871541,R957643
R385482,R566383
R464681,R627859
R397941,R830874
R757135,R468472
R186533,R872852
R946441,R863596
R511485,R978355
R856403,R915135
R816075,R551379
R202572,R397414
R666897,R817020
R545498,R496728
R284914,R119073
R499089,R789623
R724407,R494153
R550144,R977617
R556644,R815906
R341610,R861178
R970228,R353647
R649437,R397546
R393223,R263830
R713425,R135863
R404519,R192501
R388151,R506081
R875168,R159494
R575040,R447978
R826429,R299389
R500721,R668374
R713727,R348604
R898184,R212004
R269759,R855330
R125564,R676187
R635509,R597594
R115581,R173040
R544885,R153081
R759203,R691916
R644000,R216116
R759353,R721788
R867696,R236279
R989411,R353401
R651185,R674870
R474783,R829001
R752141,R615896
R432781,R880788
R414432,R470894
R712591,R720892
R497675,R680796
R778925,R203525
R297123,R929113
R682557,R530416
R125632,R583360
R146382,R758897
R374841,R382152
R202423,R631693
R519111,R409579
R742938,R516116
R677131,R418059
R936412,R172543
R925238,R682893
R969157,R460610
R679317,R863856
R180718,R224147
R850144,R373536
R327137,R125888
R250178,R861401
R608150,R830605
R667042,R534829
R415376,R822336
R532150,R274795
R642205,R818559
R181513,R628287
R382871,R339108
R250908,R244684
R105948,R366363
R962946,R429790
R714434,R993009
R567284,R686423
R367234,R872495
R344248,R753873
R266636,R542737
R114802,R743753
R143581,R502558
R483903,R999035
R198206,R336065
R338891,R971057
R698010,R646126
R144336,R687430
R172862,R222673
R216364,R758424
R380402,R159058
R532524,R892105
R118486,R660689
R534633,R650382
R748009,R397384
R578281,R142791
R812166,R194143
R105160,R256889
R761089,R491883
R233566,R309997
R640102,R348430
R791802,R999852
R654986,R466419
R841646,R483036
R745454,R748833
R216160,R239769
R659356,R181250
R261126,R746013
R462954,R110896
R711971,R990425
R422552,R579125
R872689,R206332
R497966,R810926
R724566,R391683
R594307,R840251
R985233,R716809
R290806,R171840
R849069,R168195
R633023,R854953
R623033,R708769
R852212,R388579
R998276,R985201
R893333,R372860
R488342,R743237
R911588,R681635
R123622,R764765
R520571,R742087
R912208,R909492
R324996,R301556
R411505,R653401
R105009,R822697
R840601,R732363
R180476,R515234
R389798,R953216
R585268,R531057
R696540,R275193
R176910,R200465
R102984,R417466
R877491,R430623
R587394,R839233
R872391,R461238
R332563,R434286
R258542,R940792
R943213,R773625
R905805,R511875
R840698,R970135
R305507,R477738
R878764,R768700
R455376,R427380
R724024,R587461
R269760,R193488
R964011,R828838
R831282,R507884
R460702,R478061
R982363,R805442
R327496,R712527
R745020,R947532
R882317,R720264
R984336,R671844
R686213,R493269
R803675,R477395
R470443,R152272
R906684,R660084
R202729,R967976
R150497,R980276
R704754,R558791
R745124,R580339
R259834,R331380
R913796,R776831
R459804,R973303
R605646,R159480
R136593,R742632
R505576,R365280
R670009,R695507
R574928,R222369
R350740,R161078
R535697,R955211
R150714,R895328
R491852,R137838
R175078,R917824
R748364,R684071
R689355,R572681
R255070,R165594
R536816,R686578
R170980,R224877
R517524,R896945
R171000,R822940
R867361,R303490
R659649,R312340
R976772,R239796
R884270,R354724
R778006,R801470
R715932,R476241
R745252,R658352
R801866,R790089
R350194,R101979
R592871,R315827
R855289,R408210
R926918,R977961
R306930,R609640
R236429,R486100
R268817,R551629
R731705,R977469
R294061,R707085
R172807,R801460
R886398,R675151
R976755,R817503
R506328,R146169
R340560,R271568
R927000,R228230
R666590,R255082
R211027,R616145
R328487,R509483
R297754,R245277
R351521,R223758
R153427,R677446
R162519,R545899
R301231,R296839
R714005,R234980
R720098,R608871
R275493,R492965
R715733,R934144
R230910,R687322
R916423,R318691
R651187,R448698
R455771,R132179
R829634,R966255
R192134,R776089
R534954,R886807
R416491,R325502
R395378,R524747
R876228,R146842
R348849,R694581
R185920,R102789
R688075,R149371
R105603,R747314
R351977,R994548
R298634,R354344
R188698,R728057
R752357,R246052
R766419,R452472
R898977,R674240
R837298,R766292
R208261,R612083
R190955,R960679
R435182,R553412
R189633,R320253
R740859,R335700
R788686,R586134
R404496,R935220
R503240,R468794
R762226,R707716
R771035,R599012
R591907,R732993
R396854,R520532
R401832,R918673
R709744,R645054
R247373,R290666
R436731,R286598
R737423,R479332
R945201,R808795
R457398,R638705
R798373,R171758
R926117,R102915
R947407,R434492
R413756,R254524
R707275,R924872
R169128,R416370
R593035,R123469
R185517,R924319
R647933,R861539
R607931,R985415
R779363,R928719
R224858,R492426
R222466,R532818
R529380,R924219
R781414,R304650
R639027,R292998
R933563,R702084
R824569,R481275
R936257,R843418
R376994,R497405
R376035,R877728
R601174,R951579
R842486,R315275
R374738,R493546
R118638,R877753
R252274,R363605
R566441,R894981
R440946,R435122
R536656,R133392
R537787,R752854
R343051,R682321
R964400,R916721
R169626,R180594
R528963,R597764
R149402,R743005
R586239,R282618
R306825,R576989
R509881,R939824
R941039,R947708
R467136,R859987
R539489,R566769
R566830,R576990
R330565,R381337
R427832,R342804
R490345,R533461
R340610,R337465
R199292,R822352
R213102,R211351
R320267,R361639
R424900,R303690
R871163,R557948
R731622,R899579
R226464,R713898
R443832,R465553
R570733,R224020
R923835,R296977
R962671,R525906
R152724,R702203
R213903,R599053
R555949,R249030
R866641,R832494
R472925,R451192
R589358,R875260
R744067,R936170
R712690,R772874
R970703,R132294
R443897,R880778
R118824,R634970
R396028,R448307
R504629,R636674
R207305,R264106
R560637,R714914
R527561,R682268
R672136,R236584
R354334,R496426
R696479,R626381
R632872,R474032
R709243,R724925
R430546,R450504
R723292,R656172
R710381,R401355
R792157,R568464
R987578,R758228
R802655,R570119
R127172,R407257
R497934,R519573
R203553,R329515
R138303,R886396
R456033,R915716
R778573,R286486
R590424,R285258
R170453,R101801
R813743,R357449
R268000,R412254
R704978,R316253
R612095,R612220
R416513,R303488
R525244,R843603
R437130,R283291
R897210,R217292
R711343,R215523
R879671,R289827
R726346,R837520
R267781,R338123
R847040,R699794
R149191,R571799
R745369,R531908
R765851,R176057
R901192,R850426
R394896,R962408
R562432,R442748
R613907,R182658
R941284,R620274
R245700,R885221
R735082,R138431
R350019,R788694
R935457,R282908
R558637,R587077
R990874,R591760
R112973,R680898
R574870,R501938
R847484,R391526
R347979,R956458
R621492,R901322
R446298,R764248
R951836,R947965
R625120,R742468
R550868,R520899
R910919,R584523
R311720,R257597
R302092,R457997
R205768,R175160
R437895,R306089
R196092,R271511
R731813,R879688
R739019,R578455
R668650,R710606
R217649,R109697
R884012,R498313
R109481,R314423
R742110,R250659
R353428,R357532
R643516,R858162
R241914,R228967
R708542,R192523
R250891,R773420
R607578,R362712
R391125,R195944
R428539,R686351
R438782,R824190
R766111,R680755
R503861,R799603
R990679,R946682
R226684,R182310
R897218,R156709
R831448,R553084
R812638,R288645
R813667,R292142
R262544,R643037
R900862,R577637
R430812,R194418
R585987,R175643
R612008,R163140
R732105,R434318
R100442,R828575
R729177,R164998
R191935,R235029
R869893,R866431
R590300,R753977
R301861,R600583
R417997,R647514
R453517,R879746
R684388,R827322
R423025,R140992
R187690,R432137
R256796,R782257
R564748,R869138
R703448,R758325
R934082,R999157
R905814,R841557
R846359,R140671
R297106,R136947
R691677,R748380
R881211,R380743
R151631,R968854
R674553,R352396
R392314,R652240
R537010,R161365
R541437,R533894
R790778,R754374
R720275,R869744
R922985,R235775
R195018,R931796
R803681,R233359
R503149,R717238
R183395,R902669
R868838,R880101
R297377,R989815
R113551,R382332
R365847,R500159
R478105,R692213
R431209,R434957
R502967,R371988
R555101,R775947
R776033,R189162
R952213,R605825
R892007,R547312
R190310,R820908
R132335,R969695
R120611,R482581
R228136,R485942
R791073,R698950
R541358,R586154
R232226,R667591
R376659,R340278
R486834,R625562
R571914,R815295
R847411,R438562
R345076,R893036
R660979,R674808
R946342,R922332
R514327,R172838
R208269,R194429
R925933,R427327
R772372,R970261
R746548,R455526
R910285,R149807
R194658,R812488
R850224,R128114
R247244,R862037
R576091,R475262
R492790,R124569
R658596,R459690
R673575,R271230
R282276,R449257
R472681,R584085
R757178,R410527
R622708,R828234
R137510,R547806
R329865,R206347
R447161,R797481
R250420,R138426
R205520,R516893
R334606,R557764
R428868,R474109
R250495,R562377
R548281,R312208
R960490,R114307
R847147,R198430
R168141,R850500
R767785,R714086
R991438,R104694
R155294,R963275
R708996,R447680
R349002,R849095
R498337,R253875
R202369,R922003
R554309,R355681
R358536,R759166
R192809,R255936
R371081,R439389
R295543,R315876
R993585,R448452
R360962,R499287
R384293,R137863
R709190,R801557
R770739,R710073
R965658,R478549
R924819,R451954
R922328,R512760
R380700,R872086
R906279,R728038
R411568,R939965
R805742,R876070
R546037,R838113
R353301,R710409
R787577,R678705
R348412,R196492
R485166,R136523
R455588,R640762
R259948,R952210
R915151,R899401
R138289,R807803
R362203,R466563
R455439,R322555
R937621,R764642
R258588,R440067
R741731,R370398
R750508,R277539
R929974,R582860
R104929,R263178
R667447,R969814
R410888,R541302
R626069,R904236
R786419,R569158
R723563,R199993
R628965,R347642
R725192,R950979
R294729,R752901
R509008,R282466
R646053,R432238
R939627,R468823
R591006,R343064
R635991,R867912
R785448,R912534
R857652,R413475
R906711,R149316
R746115,R588154
R108504,R726328
R441790,R138796
R774357,R835676
R889561,R785350
R218430,R589884
